Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
True or False: The COPY command must specify a File Format in order to execute.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"False.  In Snowflake, the COPY command does not necessarily require specifying a File Format in order to execute. The COPY command can be used to load data into a table from various file formats such as CSV, JSON, Avro, Parquet, etc.  When a file format is not explicitly specified in the COPY command, Snowflake attempts to automatically infer the file format based on the file's extension or internal file structure. This automatic file format inference feature is known as ""automatic file format detection.""  However, if the file format cannot be determined automatically or if you want to override the automatic detection, you can explicitly specify a File Format in the COPY command using the FILE_FORMAT parameter.  So, while specifying a File Format can provide more control and customization over the data loading process, it is not mandatory for the COPY command to execute successfully.
The correct answer is FALSE. The file format can be defined at the stage, table, or copy into command.  Create Stage: https://docs.snowflake.com/en/sql-reference/sql/create-stage.html Create Table (STAGE_FILE_FORMAT option): https://docs.snowflake.com/en/sql-reference/sql/create-table.html Copy Into: https://docs.snowflake.com/en/sql-reference/sql/copy-into-table.html",
Which of the following commands sets the Virtual Warehouse for a session?,multiple-choice,A. COPY WAREHOUSE FROM <<config file>>;,B. SET WAREHOUSE = <<warehouse name>>;,C. USE WAREHOUSE <<warehouse name>>;,D. USE VIRTUAL_WAREHOUSE <<warehouse name>>;,,,,,,,,,,,,3,"The correct answer is C. According to snowflake docs,   ""A Snowflake session can only have one current warehouse at a time. The current warehouse for a session can be specified or changed at any time through the USE WAREHOUSE command.""
https://docs.snowflake.com/en/user-guide/warehouses-tasks.html",
Which of the following objects can be cloned? (Choose four.),multi-select,A. Tables,B. Named File Formats,C. Schemas,D. Shares,E. Databases,F. Users,,,,,,,,,,"1, 2, 3, 5","ABCE : Shares and Users cannot be cloned in Snowflake because they represent different types of objects and have different purposes.  Shares represent shared access to data within Snowflake, and they cannot be cloned because access to data is controlled through the sharing mechanism, not through copying the share itself.  Users represent individual accounts within Snowflake, and they cannot be cloned because each user account must have a unique name and must be associated with a unique set of permissions. Cloning a user would result in two users with the same name, which is not allowed in Snowflake.  Instead of cloning Shares or Users, you can use the Snowflake GRANT command to manage access to data and permissions in Snowflake. The GRANT command allows you to control access to data by granting specific privileges to users, roles, or groups.
ABCE https://docs.snowflake.com/en/sql-reference/sql/create-clone",
Which object allows you to limit the number of credits consumed within a Snowflake account?,multiple-choice,A. Account Usage Tracking,B. Resource Monitor,C. Warehouse Limit Parameter,D. Credit Consumption Tracker,,,,,,,,,,,,2,"True B is correct
We can control and set the limit for credit usage in Resource Monitors. https://docs.snowflake.com/en/user-guide/resource-monitors.html#:~:text=To%20help%20control%20costs%20and%20avoid%20unexpected%20credit%20usage%20caused%20by%20running%20warehouses%2C%20Snowflake%20provides%20resource%20monitors",
Snowflake is designed for which type of workloads? (Choose two.),multi-select,A. OLAP (Analytics) workloads,B. OLTP (Transactional) workloads,C. Concurrent workloads,D. On-premise workloads,,,,,,,,,,,,"1, 3",Check this new feature of Unistore! A new workload that delivers a modern approach to working with transactional and analytical data together in a single platform https://www.snowflake.com/blog/introducing-unistore/,
What are the three layers that make up Snowflake's architecture? (Choose three.),multi-select,A. Compute,B. Tri-Secret Secure,C. Storage,D. Cloud Services,,,,,,,,,,,,"1, 3, 4","Snowflake architecture is made up of compute , storage and cloud services layer primarily.
https://docs.snowflake.com/en/user-guide/intro-key-concepts.html",
Why would a customer size a Virtual Warehouse from an X-Small to a Medium?,multiple-choice,A. To accommodate more queries,B. To accommodate more users,C. To accommodate fluctuations in workload,D. To accommodate a more complex workload,,,,,,,,,,,,4,"Answer is D. As you mention warehouse resizing is not intended for handling concurrency issues(i.e handling more queries). The solution for A would be multi-clustering.
A is the correct answer.  Ref: https://docs.snowflake.com/en/user-guide/warehouses-considerations.html  Resizing a warehouse generally improves query performance, particularly for larger, more complex queries. It can also help reduce the queuing that occurs if a warehouse does not have enough compute resources to process all the queries that are submitted concurrently. Note that warehouse resizing is not intended for handling concurrency issues; instead, use additional warehouses to handle the workload or use a multi-cluster warehouse (if this feature is available for your account).",
True or False: Reader Accounts incur no additional Compute costs to the Data Provider since they are simply reading the shared data without making changes.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,False. https://docs.snowflake.com/en/user-guide/data-sharing-reader-create.html#:~:text=The%20reader%20account%20is%20created%2C%20owned%2C%20and%20managed%20by%20the%20provider%20account%2C%20which%20assumes%20all%20responsibility%20for%20credit%20charges%20incurred%20by%20users%20in%20the%20reader%20account.,
Which of the following connectors allow Multi-Factor Authentication (MFA) authorization when connecting? (Choose all that apply.),multi-select,A. JDBC,B. SnowSQL,C. Snowflake Web Interface (UI),D. ODBC,E. Python,,,,,,,,,,,"1, 2, 3, 4, 5","MFA login is designed primarily for connecting to Snowflake through the  - web interface - but is also fully-supported by SnowSQL - and the Snowflake JDBC and ODBC drivers. Snowflake supports MFA token caching with the following drivers and connectors on macOS and Windows. This feature is not supported on Linux. - ODBC driver version 2.23.0 (or later). - JDBC driver version 3.12.16 (or later). - Python Connector for Snowflake version 2.3.7 (or later).
https://docs.snowflake.com/en/user-guide/security-mfa",
True or False: Snowflake charges a premium for storing semi-structured data.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"Snowflake does not charge extra for any special/semi-structure type of file.
https://snowflakecommunity.force.com/s/question/0D50Z00008ckwNuSAI/does-snowflake-charges-premium-for-storing-semi-structured-data",
Which of the following statements describes a benefit of Snowflake's separation of compute and storage? (Choose all that apply.),multi-select,A. Growth of storage and compute are tightly coupled together,B. Storage expands without the requirement to add more compute,C. Compute can be scaled up or down without the requirement to add more storage,D. Multiple compute clusters can access stored data without contention,,,,,,,,,,,,"2, 3, 4","BCD, all the three are correct
",
True or False: It is possible to unload structured data to semi-structured formats such as JSON and Parquet.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,1,"A is the correct answer
A is correct: https://docs.snowflake.com/en/user-guide/data-unload-considerations.html#unloading-a-relational-table-to-json",
In which layer of its architecture does Snowflake store its metadata statistics?,multiple-choice,A. Storage Layer,B. Compute Layer,C. Database Layer,D. Cloud Services Layer,,,,,,,,,,,,3,"Cloud Service layer stores metadata of queries for optimization.
Correct answer should be ""C"".  https://docs.snowflake.com/en/user-guide/intro-key-concepts Database Storage¶ When data is loaded into Snowflake, Snowflake reorganizes that data into its internal optimized, compressed, columnar format. Snowflake stores this optimized data in cloud storage.  Snowflake manages all aspects of how this data is stored — the organization, file size, structure, compression, metadata, statistics, and other aspects of data storage are handled by Snowflake. The data objects stored by Snowflake are not directly visible nor accessible by customers; they are only accessible through SQL query operations run using Snowflake. 
Database Storage

When data is loaded into Snowflake, Snowflake reorganizes that data into its internal optimized, compressed, columnar format. Snowflake stores this optimized data in cloud storage.

Snowflake manages all aspects of how this data is stored — the organization, file size, structure, compression, metadata, statistics, and other aspects of data storage are handled by Snowflake. The data objects stored by Snowflake are not directly visible nor accessible by customers; they are only accessible through SQL query operations run using Snowflake.",
True or False: Data in fail-safe can be deleted by a user or the Snowflake team before it expires.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"Fail Safe can not be configured. Users, neither retrieve nor delete the data of fail safe.
https://blog.knoldus.com/ksnow-time-travel-and-fail-safe-in-snowflake/",
"True or False: Snowflake's data warehouse was built from the ground up for the cloud in lieu of using an existing database or a platform, like Hadoop, as a base.",multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,https://docs.snowflake.com/en/user-guide/intro-key-concepts#:~:text=The%20Snowflake%20data%20platform%20is%20not%20built%20on%20any%20existing%20database%20technology%20or%20%E2%80%9Cbig%20data%E2%80%9D%20software%20platforms%20such%20as%20Hadoop.%20Instead%2C%20Snowflake%20combines%20a%20completely%20new%20SQL%20query%20engine%20with%20an%20innovative%20architecture%20natively%20designed%20for%20the%20cloud.   Answer is False.,
Which of the following statements are true of Virtual Warehouses? (Choose all that apply.),multi-select,A. Customers can change the size of the Warehouse after creation,B. A Warehouse can be resized while running,C. A Warehouse can be configured to suspend after a period of inactivity,D. A Warehouse can be configured to auto-resume when new queries are submitted,,,,,,,,,,,,"1, 2, 3, 4","All four are true  Additionally, multi-cluster warehouses support all the same properties and actions as single-cluster warehouses, including:  1)Specifying a warehouse size. 2)Resizing a warehouse at any time. 3)Auto-suspending a running warehouse due to inactivity; note that this does not apply to individual clusters, but rather the entire multi-cluster warehouse. 4)Auto-resuming a suspended warehouse when new queries are submitted.
https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",
The PUT command: (Choose two.),multi-select,A. Automatically creates a File Format object,B. Automatically uses the last Stage created,C. Automatically compresses files using Gzip,D. Automatically encrypts files,,,,,,,,,,,,"2, 4","First we will create a stage and then use PUT to load the data from onprem to that stage. Hence B. And the data will be transferred to the stage and will be encrypted, Hence D. So I guess it should be B and D.
Uploaded files are automatically encrypted with 128-bit or 256-bit keys.  AUTO_COMPRESS is TRUE by default and by default it uses GZIP.  https://docs.snowflake.com/en/sql-reference/sql/put.html",
Which type of table corresponds to a single Snowflake session?,multiple-choice,A. Temporary,B. Transient,C. Provisional,D. Permanent,,,,,,,,,,,,1,"Temporary tables are created in a session and they cannot be accessed through different session.
Temporary tables only exist within the session in which they were created and persist only for the remainder of the session. https://docs.snowflake.com/en/user-guide/tables-temp-transient.html#temporary-tables",
Which interfaces can be used to create and/or manage Virtual Warehouses?,multiple-choice,A. The Snowflake Web Interface (UI),B. SQL commands,C. Data integration tools,D. All of the above,,,,,,,,,,,,4,"The correct answer is D. All of the above.  Virtual Warehouses can be created and/or managed using the Snowflake Web Interface (UI), SQL commands, or data integration tools.  The Snowflake Web Interface (UI) is a graphical user interface that allows users to create and manage Virtual Warehouses. The Snowflake Web Interface (UI) is available in both a web browser and a mobile app.  SQL commands can be used to create and manage Virtual Warehouses. SQL commands can be executed using the Snowflake Web Interface (UI), the Snowflake Command Line Interface (CLI), or a data integration tool.  Data integration tools can be used to create and manage Virtual Warehouses. Data integration tools are software applications that allow users to extract, transform, and load data from a variety of sources into Snowflake.
https://docs.snowflake.com/en/user-guide/intro-key-concepts.html  A warehouse can be created through the web interface or using SQL:  Classic Web Interface Click on Warehouses Warehouses tab » Create  SQL Execute a CREATE WAREHOUSE command.",
When a Pipe is recreated using the CREATE OR REPLACE PIPE command:,multiple-choice,A. The Pipe load history is reset to empty,B. The REFRESH parameter is set to TRUE,C. Previously loaded files will be ignored,D. All of the above,,,,,,,,,,,,4,"D is correct  Recreating Pipes - Load History:(As per documentation) The load history for Snowpipe operations is stored in the metadata of the pipe object. When a pipe is recreated, the load history is dropped. In general, this condition only affects users if they subsequently execute an ALTER PIPE … REFRESH statement on the pipe. Doing so could load duplicate data from staged files in the storage location for the pipe if the data was already loaded successfully and the files were not deleted subsequently.  https://docs.snowflake.com/en/user-guide/data-load-snowpipe-manage#label-snowpipe-management-recreate-pipes",
What is the minimum Snowflake edition that customers planning on storing protected information in Snowflake should consider for regulatory compliance?,multiple-choice,A. Standard,B. Premier,C. Enterprise,D. Business Critical Edition,,,,,,,,,,,,3,"C. Enterprise Edition.  The Enterprise Edition of Snowflake offers advanced security features and capabilities that are designed to meet the stringent requirements of regulatory compliance. It includes features such as role-based access control (RBAC), encryption at rest and in transit, audit logging, fine-grained access controls, and data masking. These features help ensure the security and compliance of sensitive and protected data stored in Snowflake.  While other editions of Snowflake, such as Standard and Premier, also provide security features, the Enterprise Edition is specifically tailored for organizations with higher compliance and security requirements. It offers additional features and capabilities that address the needs of regulated industries and data protection standards.  Therefore, customers planning on storing protected information in Snowflake for regulatory compliance should consider the Enterprise Edition as a suitable option.
PII and HIPAA compliance are only supported for Business Critical Edition or higher. But the question should have been more specific as jjordan mentioned. https://docs.snowflake.com/en/user-guide/intro-editions.html#security-governance-data-protection",
Select the three types of tables that exist within Snowflake. (Choose three.),multi-select,A. Temporary,B. Transient,C. Provisional,D. Permanent,,,,,,,,,,,,"1, 2, 4","Temporary tables, Transient tables, Permanent tables exists in Snowflake.
https://community.snowflake.com/s/article/Making-Transient-table-by-Default",
True or False: Snowpipe via REST API can only reference External Stages as source.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"https://docs.snowflake.com/en/user-guide/data-load-snowpipe-rest-load B)  Stage your data files:  Internal stage: Use the PUT command to stage your files.  External stage: Use the client tools provided by the cloud provider to copy your files to the stage location (Amazon S3, Google Cloud Storage, or Microsoft Azure).",
True or False: A third-party tool that supports standard JDBC or ODBC but has no Snowflake-specific driver will be unable to connect to Snowflake.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"False.  A third-party tool that supports standard JDBC or ODBC can connect to Snowflake even without a Snowflake-specific driver. Snowflake provides JDBC and ODBC connectors that adhere to the standard JDBC and ODBC interfaces, allowing third-party tools to establish a connection to Snowflake using these standard protocols.  The Snowflake JDBC and ODBC connectors act as bridges between the third-party tools and the Snowflake service, enabling communication and data exchange. As long as the third-party tool supports JDBC or ODBC, it can utilize the Snowflake connectors to connect to Snowflake and interact with the data warehouse.  This approach ensures compatibility and interoperability with a wide range of tools and applications that support JDBC or ODBC, making it easier to integrate Snowflake into existing ecosystems or use preferred third-party tools for data analysis, reporting, or other purposes.
Answer is B False:  E.g. JDBC:  https://docs.snowflake.com/en/user-guide/jdbc.html  Snowflake provides a JDBC type 4 driver that supports core JDBC functionality. The JDBC driver must be installed in a 64-bit environment and requires Java 1.8 (or higher). The driver can be used with most client tools/applications that support JDBC for connecting to a database server.",
True or False: It is possible to load data into Snowflake without creating a named File Format object.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,1,"True. Snowflake supports loading data without creating a named File Format object. Snowflake provides built-in file formats that can be used to load data without the need to create a file format object explicitly.  For example, to load a CSV file, you can use the built-in CSV file format by simply specifying the FILE_FORMAT option as CSV in the COPY INTO command. This allows you to quickly load data without the overhead of creating a named file format object.       Send a message...
https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-create-file-format",
True or False: A table in Snowflake can only be queried using the Virtual Warehouse that was used to load the data.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"B is correct. you can query cached data without having virtual warehouse running
",
Which of the following statements are true of Snowflake data loading? (Choose three.),multi-select,A. VARIANT   null   values are not the same as SQL NULL values,"B. It is recommended to do frequent, single row DMLs",C. It is recommended to validate the data before loading into the Snowflake target table,D. It is recommended to use staging tables to manage MERGE statements,,,,,,,,,,,,"1, 3, 4","The result must be deterministic for merge so source can be any reference data source only constraint it should create/modify unique rows
Variant NULL values: https://docs.snowflake.com/en/user-guide/semistructured-considerations#label-variant-null",
Which statements are true of micro-partitions? (Choose two.),multi-select,A. They are approximately 16MB in size,B. They are stored compressed only if COMPRESS=TRUE on Table,C. They are immutable,D. They are only encrypted in the Enterprise edition and above,,,,,,,,,,,,"1, 3","- micro-partitions are small in size (50 to 500 MB, before compression) - 16 MB must comes from old version/question - COMPRESSION = NONE is the right
The size of 50-500MB is for uncompressed data and micropartition itself holds around 16MB(after compression). https://stackoverflow.com/questions/67945427/clarification-on-the-snowflake-micro-partition-size",
True or False: Query ID's are unique across all Snowflake deployments and can be used in communication with Snowflake Support to help troubleshoot issues.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,1,"True.  Query IDs in Snowflake are unique across all Snowflake deployments. Each query executed in Snowflake is assigned a unique Query ID, which can be used to track and reference that specific query. Query IDs are system-generated and can be found in various monitoring and logging tools provided by Snowflake.  In case of any issues or troubleshooting needs, providing the Query ID to Snowflake Support can be helpful. Snowflake Support can use the Query ID to investigate the details and history of the specific query, assisting in troubleshooting and resolving any issues related to that query.  Therefore, the statement is true. Query IDs are unique across all Snowflake deployments and can be used in communication with Snowflake Support to help troubleshoot issues.
There is no proof that query_id is unique across all snowflake deployments. The support team needs both query_id and Account URL to minimize any delays in receiving a support response. https://community.snowflake.com/s/article/How-To-Submit-a-Support-Case-in-Snowflake-Lodge",
"A deterministic query is run at 8am, takes 5 minutes, and the results are cached. Which of the following statements are true? (Choose two.)",multi-select,A. The exact query will ALWAYS return the precomputed result set for the RESULT_CACHE_ACTIVE = time period,B. The same exact query will return the precomputed results if the underlying data hasn't changed and the results were last accessed within previous 24 hour period,C. The same exact query will return the precomputed results even if the underlying data has changed as long as the results were last accessed within the previous 24 hour period,D. The   24 hour   timer on the precomputed results gets renewed every time the exact query is executed,,,,,,,,,,,,"2, 4","BD I think, but bad wording on B: ""previous"" 24 hours would mean before the original query was run, so taken literally this is incorrect but I think they mean the next 24 hours.
BD Explanation for D is here  https://docs.snowflake.com/en/user-guide/querying-persisted-results.html",
Increasing the maximum number of clusters in a Multi-Cluster Warehouse is an example of:,multiple-choice,A. Scaling rhythmically,B. Scaling max,C. Scaling out,D. Scaling up,,,,,,,,,,,,3,"Scaling Max Clusters.   Stephen Okon Increasing the maximum number of clusters in a Multi-Cluster Warehouse is an example of: A. Scaling rhythmically B. Scaling max C. Scaling out D. Scaling up  The correct answer is B. Scaling max.  Scaling max refers to increasing the maximum limit of resources that can be allocated to a system or application. In the context of a Multi-Cluster Warehouse, increasing the maximum number of clusters would require more resources to be allocated to the system in order to accommodate the additional clusters. This is an example of scaling max because it involves increasing the maximum limit of resources that can be allocated to the Multi-Cluster Warehouse.  Scaling rhythmically, on the other hand, refers to increasing or decreasing resources in a gradual and predictable manner based on the workload of the system. Scaling out involves adding more instances of a system or application to distribute the workload across multiple nodes. Scaling up involves increasing the resources of a single node in order to handle a larger workload.
Correct answer : C https://docs.snowflake.com/en/user-guide/warehouses-considerations#scaling-up-vs-scaling-out  Snowflake supports two ways to scale warehouses: 1. Scale up by resizing a warehouse. 2. Scale out by adding clusters to a multi-cluster warehouse (requires Snowflake Enterprise Edition or higher).",
Which statement best describes Snowflake tables?,multiple-choice,A. Snowflake tables are logical representations of underlying physical data,B. Snowflake tables are the physical instantiation of data loaded into Snowflake,C. Snowflake tables require that clustering keys be defined to perform optimally,D. Snowflake tables are owned by a user,,,,,,,,,,,,1,"Was on exam 20/12/2022
https://docs.snowflake.com/en/user-guide/tables-micro-partitions.html",
Which item in the Data Warehouse migration process does not apply in Snowflake?,multiple-choice,A. Migrate Users,B. Migrate Schemas,C. Migrate Indexes,D. Build the Data Pipeline,,,,,,,,,,,,3,"Snowflake does not use indexes. Answer is C
",
Snowflake provides two mechanisms to reduce data storage costs for short-lived tables. These mechanisms are: (Choose two.),multi-select,A. Temporary Tables,B. Transient Tables,C. Provisional Tables,D. Permanent Tables,,,,,,,,,,,,"1, 2","Answer is correct.
https://docs.snowflake.com/en/user-guide/tables-storage-considerations.html",
What is the maximum compressed row size in Snowflake?,multiple-choice,A. 8KB,B. 16MB,C. 50MB,D. 4000GB,,,,,,,,,,,,2,"MAX size for compressed data for semi-structured data type is also 16 MB. That means if our table has a semi-structured data type column with 16MB data other columns will have NULL data.
https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare.html#semi-structured-data-size-limitations 16MB per row captured in the variant field",
Which of the following are main sections of the top navigation of the Snowflake Web Interface (UI)? (Choose three.),multi-select,A. Databases,B. Tables,C. Warehouses,D. Worksheets,,,,,,,,,,,,"1, 3, 4","Answer is correct.
https://docs.snowflake.com/en/user-guide/snowflake-manager.html",
What is the recommended Snowflake data type to store semi-structured data like JSON?,multiple-choice,A. VARCHAR,B. RAW,C. LOB,D. VARIANT,,,,,,,,,,,,4,"Answer D is correct.
https://docs.snowflake.com/en/sql-reference/data-types-semistructured.html",
Which of the following statements are true of Snowflake releases: (Choose two.),multi-select,A. They happen approximately weekly,"B. They roll up and release approximately monthly, but customers can request early release application","C. During a release, new customer requests/queries/connections transparently move over to the newer version",D. A customer is assigned a 30 minute window (that can be moved anytime within a week) during which the system will be unavailable and customer is upgraded,,,,,,,,,,,,"1, 3","The answer looks A& C according to the documents on :- https://docs.snowflake.com/en/user-guide/intro-releases.html ""....Snowflake is committed to providing a seamless, always up-to-date experience for our users while also delivering ever-increasing value through rapid development and continual innovation. To meet this commitment, we deploy new releases each week.""  ""... This topic describes the process we follow for weekly releases, including the option to request 24-hour early access for Enterprise Edition (and higher) accounts to enable additional release testing (if desired).""",
Which of the following are common use cases for zero-copy cloning? (Choose three.),multi-select,A. Quick provisioning of Dev and Test/QA environments,B. Data backups,C. Point in time snapshots,D. Performance optimization,,,,,,,,,,,,"1, 2, 3","ABC is correct
https://community.snowflake.com/s/question/0D50Z00009C3VlMSAV/zero-copy-cloning",
"If a Small Warehouse is made up of 2 servers/cluster, how many servers/cluster make up a Medium Warehouse?",multiple-choice,A. 4,B. 16,C. 32,D. 128,,,,,,,,,,,,1,"Correct answer. With each warehouse size incremental increase everything doubles including cost
https://docs.snowflake.com/en/user-guide/warehouses-overview.html",
"True or False: When a data share is established between a Data Provider and a Data Consumer, the Data Consumer can extend that data share to other Data
Consumers.",multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"yeah, you can not re-share your share. but in real live, I did it using dbt.
Consumer can't re-shared DB object to another consumer. https://docs.snowflake.com/en/user-guide/data-share-consumers.html",
Which is true of Snowflake network policies? A Snowflake network policy: (Choose two.),multi-select,A. Is available to all Snowflake Editions,B. Is only available to customers with Business Critical Edition,C. Restricts or enables access to specific IP addresses,D. Is activated using an   ALTER DATABASE   command,,,,,,,,,,,,"1, 3","Sample SQL: create or replace network policy mypolicy1 allowed_ip_list=('192.168.1.0/24') blocked_ip_list=('192.168.1.99');
https://docs.snowflake.com/en/sql-reference/sql/create-network-policy.html",
True or False: Snowflake charges additional fees to Data Providers for each Share they create.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"According to the documentation sited:  ""The costs for sharing data with Snowflake are minimal and straightforward. Data providers simply pay Snowflake for the data they store, and data consumers pay for the compute resources their queries consume.""
https://docs.snowflake.com/en/user-guide/data-sharing-intro According to docs, there is no separate cost to provider for creating the Share. Shared data does not take up any storage in a consumer account and therefore does not contribute to the consumer’s monthly data storage charges. The only charges to consumers are for the compute resources (i.e. virtual warehouses) used to query the shared data.  Because no data is copied or exchanged, Secure Data Sharing setup is quick and easy for providers and access to the shared data is near-instantaneous for consumers",
"Query results are stored in the Result Cache for how long after they are last accessed, assuming no data changes have occurred?",multiple-choice,A. 1 Hour,B. 3 Hours,C. 12 hours,D. 24 hours,,,,,,,,,,,,4,"Answer is correct. ""Which holds the results of every query executed in the past 24 hours. These are available across virtual warehouses, so query results returned to one user is available to any other user on the system who executes the same query, provided the underlying data has not changed.""
https://community.snowflake.com/s/article/Caching-in-Snowflake-Data-Warehouse",
